,,,,,,,,,,,,,,,,,,,,,,
Ti,V,Cr,Mn,Co,Ni,Cu,Zn,As,Se,Mo,Ag,Cd,Sn,Sb,Ba,W,Au,Tl,Bi,Pb,,
5.13 ,0.00 ,0.00 ,22.67 ,0.06 ,0.00 ,2.80 ,3.73 ,682.31 ,0.00 ,0.21 ,1.85 ,0.00 ,0.16 ,45.74 ,0.05 ,0.01 ,0.00 ,8.67 ,0.00 ,24.63 ,,
6.00 ,0.03 ,0.43 ,32.63 ,0.00 ,1.49 ,31.73 ,7.37 ,689.68 ,0.00 ,2.21 ,8.00 ,0.00 ,0.22 ,42.56 ,0.02 ,3.08 ,0.01 ,50.72 ,0.00 ,62.78 ,,
6.03 ,0.01 ,0.60 ,14.53 ,0.00 ,1.11 ,30.69 ,4.21 ,491.41 ,0.00 ,0.83 ,23.78 ,0.16 ,0.05 ,37.69 ,0.06 ,6.83 ,0.12 ,70.49 ,0.00 ,431.18 ,,
41.44 ,0.18 ,2.19 ,6.04 ,160.10 ,19.26 ,777.62 ,17.25 ,19.79 ,1455.75 ,0.15 ,1.33 ,0.00 ,1.81 ,0.07 ,0.15 ,0.00 ,0.00 ,0.00 ,0.31 ,2.51 ,,
46.56 ,0.06 ,6.45 ,0.47 ,108.22 ,143.06 ,92.08 ,131.65 ,25.89 ,1153.76 ,0.00 ,0.19 ,0.00 ,0.21 ,0.00 ,1.73 ,0.17 ,0.10 ,0.02 ,0.07 ,2.26 ,,
46.38 ,0.07 ,0.00 ,3.91 ,131.82 ,118.79 ,117.28 ,61.98 ,44.67 ,60.81 ,0.13 ,0.95 ,0.00 ,4.09 ,0.06 ,0.00 ,0.00 ,0.00 ,0.06 ,0.00 ,0.28 ,,
8.82 ,0.00 ,0.24 ,0.07 ,14.53 ,0.81 ,1.20 ,515.10 ,0.00 ,562.53 ,0.00 ,0.00 ,0.00 ,0.17 ,0.00 ,0.00 ,0.01 ,0.00 ,0.00 ,0.22 ,0.00 ,,
8.32 ,0.00 ,0.24 ,0.20 ,74.72 ,0.48 ,532.01 ,49.57 ,0.97 ,65.94 ,0.00 ,0.03 ,0.00 ,0.07 ,0.00 ,0.00 ,0.00 ,0.02 ,0.02 ,4.25 ,0.35 ,,
8.85 ,0.02 ,0.00 ,0.76 ,10.40 ,0.00 ,3.16 ,3.14 ,13.44 ,94.71 ,0.89 ,0.23 ,0.00 ,0.22 ,0.22 ,0.02 ,0.00 ,0.00 ,0.01 ,1.23 ,1.29 ,,
31.46 ,4.96 ,8.79 ,355.52 ,1.95 ,25.42 ,207.64 ,193.32 ,3.42 ,105.92 ,5.21 ,4.34 ,0.00 ,6.00 ,38.58 ,3.74 ,0.37 ,0.29 ,0.58 ,0.51 ,563.47 ,,
8.45 ,0.09 ,0.79 ,2.53 ,0.04 ,2.63 ,55.72 ,3.25 ,629.60 ,0.00 ,0.09 ,1.71 ,0.00 ,0.04 ,6.83 ,0.09 ,0.00 ,0.67 ,0.21 ,0.02 ,113.62 ,,
33.07 ,3.83 ,1.23 ,225.87 ,0.13 ,0.00 ,20.33 ,4.15 ,20.48 ,636.31 ,0.00 ,4.01 ,0.00 ,0.00 ,0.16 ,0.04 ,0.01 ,1.30 ,0.00 ,14.82 ,23.14 ,,
5.51 ,1.62 ,0.46 ,29.38 ,52.82 ,36.55 ,230.99 ,128.09 ,489.90 ,367.55 ,5.55 ,33.53 ,0.80 ,0.67 ,53.92 ,0.65 ,0.67 ,1.92 ,5.57 ,42.24 ,270.24 ,,
16.23 ,1.32 ,2.84 ,25.31 ,0.00 ,0.00 ,37.34 ,35.87 ,598.54 ,0.00 ,2.31 ,23.01 ,4.35 ,2.68 ,46.59 ,0.33 ,1.39 ,1.39 ,4.72 ,0.00 ,343.95 ,,
5.93 ,0.00 ,0.40 ,0.93 ,16.52 ,3.15 ,319.74 ,86.05 ,7.12 ,176.23 ,0.06 ,2.74 ,0.07 ,0.42 ,0.74 ,0.06 ,0.01 ,0.06 ,0.00 ,2.33 ,6.63 ,,
4.10 ,0.08 ,3.94 ,46.72 ,12.91 ,0.32 ,1649.04 ,1073.89 ,3401.50 ,82.59 ,1.72 ,4.44 ,3.01 ,0.88 ,0.91 ,8.17 ,0.02 ,3.02 ,0.03 ,20.92 ,7.19 ,,
48.16 ,2.57 ,6.52 ,40.01 ,0.00 ,2.06 ,2102.60 ,925.53 ,8302.12 ,0.00 ,1.19 ,29.41 ,0.00 ,2.80 ,290.26 ,168.92 ,0.09 ,0.77 ,15.27 ,0.45 ,528.91 ,,
8.87 ,0.04 ,17.32 ,0.43 ,10.48 ,32.34 ,92.00 ,40.30 ,25.57 ,35.86 ,45.42 ,43.80 ,0.19 ,0.71 ,0.55 ,0.07 ,0.04 ,4.47 ,0.03 ,7.29 ,53.50 ,,
8.69 ,0.00 ,18.16 ,67.82 ,21.43 ,1.17 ,3038.53 ,1771.67 ,3634.26 ,148.82 ,3.49 ,11.25 ,3.70 ,0.03 ,2.21 ,4.22 ,0.01 ,3.51 ,0.02 ,32.76 ,14.66 ,,
7.21 ,0.03 ,0.00 ,0.71 ,8.29 ,1.75 ,14720.42 ,44.70 ,71.21 ,353.68 ,0.00 ,72.53 ,0.30 ,1.13 ,71.76 ,0.00 ,0.00 ,4.60 ,0.02 ,24.82 ,0.39 ,,
6.10 ,4.23 ,2.30 ,138.77 ,0.93 ,48.78 ,1407.37 ,399.47 ,15249.21 ,28.94 ,6.48 ,192.78 ,2.55 ,0.10 ,2083.53 ,129.21 ,0.21 ,8.03 ,167.77 ,23.91 ,182.03 ,,
5.75 ,0.22 ,3.00 ,183.43 ,0.45 ,38.18 ,1055.16 ,48.99 ,17257.16 ,25.07 ,4.39 ,123.71 ,0.28 ,0.85 ,1783.02 ,1.84 ,0.14 ,3.04 ,221.15 ,16.62 ,79.24 ,,
6.16 ,0.83 ,4.48 ,179.60 ,2.14 ,52.13 ,772.91 ,9615.42 ,10030.28 ,40.02 ,8.03 ,93.82 ,30.73 ,0.32 ,1096.96 ,19.47 ,0.32 ,1.28 ,147.35 ,31.38 ,153.30 ,,
7.03 ,0.41 ,2.56 ,193.06 ,0.06 ,8.33 ,1668.80 ,73.95 ,17039.29 ,0.00 ,7.13 ,68.60 ,0.03 ,0.46 ,2981.23 ,20.42 ,0.43 ,2.75 ,308.98 ,4.15 ,53.34 ,,
57.74 ,0.41 ,2.77 ,1.67 ,14.49 ,14.67 ,1346.28 ,76.07 ,182.60 ,62.54 ,0.21 ,34.25 ,0.47 ,0.05 ,21.62 ,0.10 ,0.13 ,1.18 ,0.09 ,0.67 ,87.84 ,,
56.26 ,0.00 ,19.33 ,0.92 ,106.22 ,261.26 ,2424.83 ,85.92 ,6668.37 ,772.47 ,0.15 ,0.06 ,0.00 ,3.83 ,3.98 ,3.10 ,0.25 ,4.32 ,0.07 ,0.35 ,25.49 ,,
47.52 ,1.97 ,0.00 ,22.61 ,294.32 ,96.43 ,10507.08 ,50.51 ,13162.21 ,45.32 ,0.25 ,35.38 ,164.77 ,9.20 ,91.65 ,1.79 ,0.00 ,20.35 ,0.53 ,84.07 ,2372.62 ,,
40.03 ,0.00 ,0.00 ,2.50 ,188.54 ,67.92 ,74.62 ,9986.84 ,16023.41 ,35.68 ,0.50 ,1.20 ,0.00 ,0.00 ,2.31 ,0.00 ,0.05 ,1.64 ,0.06 ,0.80 ,18.22 ,,
37.71 ,0.04 ,6.33 ,12.16 ,0.49 ,28.15 ,11028.55 ,3155.93 ,4265.44 ,0.00 ,60.09 ,62.92 ,2.81 ,1.51 ,61.17 ,0.01 ,0.11 ,1.90 ,0.19 ,0.07 ,52559.14 ,,
7.06 ,0.92 ,1.10 ,395.29 ,0.34 ,78.97 ,3789.07 ,15641.23 ,21193.60 ,19.47 ,14.55 ,422.79 ,37.22 ,0.16 ,1865.62 ,1.74 ,0.09 ,8.75 ,376.55 ,24.18 ,515.35 ,,
6.34 ,0.08 ,1.03 ,4.20 ,144.05 ,4.46 ,16383.83 ,3.43 ,330.72 ,40.52 ,0.56 ,2.04 ,0.00 ,0.09 ,1.61 ,0.04 ,0.00 ,0.46 ,0.06 ,9.18 ,6.34 ,,
51.99 ,0.16 ,0.00 ,4.26 ,0.43 ,52.34 ,18765.80 ,14.88 ,13.18 ,0.00 ,0.00 ,83.07 ,0.00 ,0.00 ,0.00 ,0.11 ,0.05 ,4.17 ,0.03 ,18.91 ,55.02 ,,
34.90 ,0.00 ,15.05 ,136.20 ,0.29 ,0.00 ,14549.05 ,4025.88 ,78015.17 ,0.00 ,2.69 ,1043.82 ,107.08 ,0.24 ,9315.90 ,0.93 ,0.00 ,37.59 ,23.24 ,0.00 ,2899.35 ,,
7.27 ,0.02 ,0.69 ,0.57 ,82.77 ,0.00 ,8.41 ,5.81 ,11417.82 ,63.19 ,1.80 ,0.00 ,0.00 ,0.50 ,0.00 ,0.55 ,0.02 ,9.30 ,0.02 ,0.49 ,0.65 ,,
6.50 ,0.04 ,3.33 ,0.48 ,20.63 ,0.24 ,6.53 ,5.17 ,3293.29 ,111.17 ,0.00 ,0.03 ,0.00 ,0.20 ,0.00 ,1.96 ,0.01 ,0.34 ,0.05 ,0.14 ,0.61 ,,
6.94 ,1.20 ,1.02 ,217.52 ,0.33 ,18.36 ,220.51 ,13.77 ,17388.23 ,10.29 ,0.28 ,25.93 ,0.15 ,0.03 ,84.09 ,0.18 ,0.25 ,0.49 ,41.37 ,6.98 ,90.90 ,,
9.06 ,5.26 ,1.33 ,289.09 ,16.35 ,119.11 ,905.44 ,62.02 ,3984.89 ,19.38 ,1.43 ,143.51 ,0.40 ,0.10 ,465.06 ,10.27 ,0.46 ,3.67 ,29.71 ,31.19 ,1202.32 ,,
6.50 ,0.16 ,3.00 ,298.23 ,0.00 ,0.16 ,283.99 ,87.02 ,9695.77 ,20.30 ,18.45 ,56.20 ,0.08 ,0.10 ,561.26 ,0.12 ,0.00 ,0.78 ,399.38 ,0.00 ,2026.77 ,,
7.38 ,0.09 ,0.00 ,13.85 ,53.68 ,1.11 ,190.32 ,4.20 ,595.96 ,74.08 ,1.66 ,8.02 ,0.15 ,0.07 ,19.09 ,0.19 ,0.01 ,0.36 ,11.95 ,38.44 ,255.75 ,,
60.16 ,1.17 ,1.21 ,68.94 ,155.54 ,6.88 ,750.35 ,66.18 ,5460.74 ,5.90 ,4.76 ,38.16 ,0.29 ,0.14 ,169.36 ,0.24 ,0.82 ,1.38 ,27.52 ,157.50 ,511.94 ,,
11.17 ,1.55 ,0.45 ,77.87 ,25.13 ,2.75 ,98.80 ,15.10 ,487.23 ,13.21 ,18.54 ,7.48 ,0.08 ,0.25 ,5.85 ,0.16 ,0.00 ,0.31 ,1.34 ,28.10 ,41.41 ,,
7.32 ,0.01 ,1.13 ,2.19 ,0.87 ,10.82 ,42.43 ,5.79 ,1217.15 ,107.22 ,0.32 ,7.12 ,0.08 ,0.00 ,18.65 ,1.40 ,0.00 ,1.38 ,2.33 ,0.07 ,82.01 ,,
4.53 ,0.24 ,1.21 ,49.40 ,0.02 ,0.09 ,22.61 ,23.61 ,23034.68 ,0.00 ,4.92 ,2.51 ,0.00 ,0.18 ,4158.01 ,2.34 ,0.77 ,0.24 ,125.07 ,0.00 ,191.31 ,,
4.88 ,0.09 ,4.77 ,42.99 ,0.04 ,1.06 ,2394.26 ,127.70 ,2935.78 ,0.00 ,1.13 ,196.17 ,1.89 ,0.25 ,1228.30 ,4.85 ,2.79 ,0.08 ,6.14 ,0.01 ,735.90 ,,
7.16 ,0.37 ,0.10 ,75.91 ,0.03 ,0.41 ,89.12 ,18.87 ,22165.91 ,69.62 ,3.21 ,34.84 ,0.14 ,0.37 ,51.97 ,0.22 ,0.14 ,0.50 ,656.53 ,0.20 ,697.92 ,,
7.78 ,1.63 ,2.19 ,139.27 ,10.65 ,57.42 ,296.01 ,115.54 ,806.67 ,6.73 ,5.48 ,18.95 ,0.03 ,0.01 ,42.60 ,8.14 ,0.11 ,5.44 ,0.09 ,0.46 ,132.94 ,,
7.38 ,7.80 ,0.99 ,182.20 ,0.02 ,20.74 ,395.14 ,30.26 ,15682.55 ,32.35 ,2.98 ,50.73 ,0.00 ,0.21 ,286.11 ,0.26 ,0.20 ,0.66 ,142.43 ,10.89 ,62.40 ,,
5.61 ,1.49 ,0.07 ,41.71 ,0.00 ,1.52 ,283.64 ,37.40 ,12831.50 ,0.00 ,2.20 ,23.95 ,0.00 ,0.68 ,2544.65 ,1.85 ,0.70 ,1.97 ,127.10 ,0.01 ,547.36 ,,
7.04 ,0.03 ,2.57 ,0.00 ,118.26 ,0.21 ,9.12 ,3.13 ,10558.40 ,326.65 ,1.09 ,0.03 ,0.10 ,0.26 ,0.00 ,0.05 ,0.01 ,7.73 ,0.01 ,0.15 ,0.37 ,,
55.34 ,1.02 ,12.77 ,185.74 ,0.29 ,7.03 ,1083.36 ,41.30 ,345.95 ,0.00 ,0.00 ,16.55 ,0.17 ,1.35 ,525.54 ,3.30 ,7.98 ,0.79 ,184.65 ,0.00 ,282.34 ,,
28.83 ,1.66 ,12.81 ,2309.07 ,0.12 ,22.45 ,11853.81 ,2047.56 ,100170.61 ,0.00 ,155.64 ,1189.86 ,2.25 ,3.25 ,23008.07 ,5.94 ,0.00 ,60.28 ,913.46 ,0.00 ,11888.39 ,,
