Analysis spots,Fe,S,Cu,Na,Mg,Al,Si,K,Ca,Rb,Sr,Ti,V,Cr,Mn,Pb,Co,Ni,Zn,Ga,Ge,As,Se,Mo,Ag,Cd,In,Sn,Sb,Te,Ba,W,Au,Tl,Bi
Isocubanite (N +AD0- 62),ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W08+AC0-01+AC0-64,526154,454498,815,118,1327,2.62,15269,295,116,1.01,1.45,0.68,1.02,0.64,1003,0.71,73.7,3,291,0.05,11.6,1.49,6.45,7.41,0.16,0.27,0.01,0.09,0.12,0.19,0.22,0.02,0.1,0.04,0.01
W08+AC0-01+AC0-83,441464,285478,1892,4626,48640,72.9,204298,8015,1477,23.2,29.7,4.13,5.29,43.7,2146,13.3,68.5,7.35,1652,0.22,17.2,1.77,2.88,6.61,0.01,3.73,0.09,1.12,5.01,b.d,3.34,0.47,0.74,0.25,0.07
W08+AC0-01+AC0-84,549110,440316,107,334,1708,0,6187,337,128,1.24,5.29,0.98,0.05,1.88,176,0.74,1197,3.61,332,0,11.2,1.99,37,2.36,0.24,b.d,0.02,0.03,0.3,1.09,0.31,b.d,0.01,0.11,0.04
W08+AC0-01+AC0-61,520619,454360,21120,102,241,0.48,987,40.3,112,0.05,0.66,0.08,0.13,0,1224,0.55,293,1.78,862,0.04,11.6,0.83,11.7,4.85,0.84,1.29,0.24,1.39,0.52,1.94,0.18,0.08,0.61,0.25,0.03
W08+AC0-01+AC0-85,547657,402796,3071,2548,10906,1.01,29312,1407,286,3.08,16.9,0.41,0.8,1.04,816,4.31,823,6.57,275,0.17,11.4,16.9,5.9,25.6,1.1,b.d,0.03,0.66,0.29,1.01,6.15,0.02,0.19,0.12,0.17
W08+AC0-01+AC0-86,490390,414044,1228,525,46828,11.6,44989,138,113,0.2,5.23,0.44,0.87,2.97,315,0.37,585,2.98,767,0.17,12.1,4.76,26.6,4.1,0.02,1,0.08,0.15,4.22,0.12,0.64,0,0.04,0.03,b.d
W08+AC0-01+AC0-87,457653,446619,2233,1822,39334,23.7,49485,412,295,0.92,5.74,1.4,1.57,103,1146,1.34,57,4.85,732,0.19,12.3,7.71,6.42,33.4,0.17,1.18,0.04,0.66,1.84,0.15,0.86,2.75,2.58,0.22,0.01
W08+AC0-01+AC0-88,528994,449160,1863,485,4389,10.1,13220,329,317,1.25,3.97,0.81,0.78,22.6,887,0.32,42,1.39,226,0.05,11.4,5.82,9.38,17.1,0.17,0.42,0.01,0.23,1.21,0.14,0.39,0.77,0.2,0.4,b.d
W08+AC0-01+AC0-89,547792,446034,1049,218,1306,0.29,1975,74.6,174,0.15,5.76,0.79,0.06,0.9,1269,0.08,42.3,0.36,35.2,0.01,10.7,2.14,3.25,4.93,0.19,0.12,b.d,0.18,0.36,0.08,0.38,b.d,0.02,0.05,b.d
W08+AC0-01+AC0-90,416387,355208,1934,1687,101441,20.9,116419,1061,1222,2.98,28.6,0.93,1.54,1.24,2775,0.52,510,5.91,1255,0.25,11.2,4.93,1.28,9.05,0.64,2.1,0.04,1.01,3.19,0.3,2.96,0.03,0.07,0.08,b.d
W08+AC0-01+AC0-91,543362,424899,363,678,12237,1,16397,397,341,1.08,16.6,1.06,0.23,2.37,239,0.19,729,6.21,289,b.d,11.6,4.51,15.9,4.09,0.13,0.33,b.d,0.05,1.13,0.15,1.9,b.d,0.02,0.14,0.01
W08+AC0-01+AC0-92,556358,436631,168,412,592,0.55,4698,317,200,0.91,6.44,0.91,0.08,1.28,423,0.05,85,0.83,68.3,b.d,11.4,8.43,7.85,6.23,0.03,0.07,b.d,0.06,1.12,b.d,0.58,0.06,0.04,0.05,0.02
W08+AC0-01+AC0-93,512891,399464,1116,1292,25602,6.66,55088,2553,253,8.69,11.4,0.37,0.91,3.56,956,0.97,53.9,1.57,664,0.09,12.6,3.02,4.68,7.13,0.04,1.46,0.02,0.18,1.84,b.d,1.2,0.08,0.06,0.09,b.d
W08+AC0-01+AC0-94,324352,288987,3838,1761,186676,46.2,191007,339,377,0.49,16.8,1.46,4.28,10,991,0.44,75,3.99,1459,0.61,11.5,8.17,10.9,14.2,0.12,2.8,0.2,0.76,3.16,0.04,1.4,0.41,0.11,0.08,0.02
W08+AC0-01+AC0-95,525319,449207,435,368,10814,2.24,12978,188,138,0.49,5.1,0.8,0.31,1.59,303,0.14,44.1,0.71,169,0.02,10.6,2.73,5.57,4.55,0.04,0.46,0.01,0.05,1.05,0.11,0.48,0.02,0.01,0.05,b.d
W08+AC0-01+AC0-97,488578,462826,454,1113,20809,6.23,24268,507,679,0.95,54.4,1.3,0.67,0.7,228,0.18,82.3,2.55,355,0.07,11,7.14,1.86,8.1,0.05,1.05,0.02,0.27,2.13,0.08,1.4,0.15,0.26,0.24,0.01
W08+AC0-01+AC0-98,536519,364001,3591,7433,5519,0.18,72280,6310,2548,21.9,27.8,0.68,0.01,1.42,321,2.54,794,23.7,463,0.01,11.5,16.7,69.9,37.6,0.53,0.11,0.02,0.33,0.25,0.27,3.57,0.01,0.8,0.67,0.05
W08+AC0-01+AC0-99,517035,464582,818,961,5064,0.06,9371,358,730,0.8,9.38,0.66,0.06,0.17,808,0.03,157,0.73,71.5,0.01,10.1,5.09,8.25,6.23,0.28,0.36,0.11,0.91,0.69,0.12,0.72,0.01,0.02,0.31,0.01
W80+AC0-01+AC0-2+AC0-11,443100,377849,2201,1688,36303,90.4,133105,1681,551,5.84,14.8,3.47,2.86,6.16,2526,17.9,84.2,13.5,698,0.25,12.6,2.68,12.5,13.8,0.38,1.03,0.09,0.92,b.d,0.15,13.65,0.03,0.16,0.12,0.64
W80+AC0-01+AC0-2+AC0-12,461840,445416,4012,1178,12668,27.2,70055,1048,355,3.48,5.19,1.34,1.11,2.77,2495,11.9,295,1.86,547,0.15,12.5,1.95,9.47,7.46,1.42,1.17,0.16,1.55,0.14,0.34,0.43,0,0.02,0.21,0.42
